# frame timestamp, TTL timestamp
532190339386,532190372996
532190372701,532190409138
532190406018,532190439785
532190439334,532190475347
532190472651,532190506711
532190505965,532190539679
532190539281,532190572970
532190572597,532190608778
532190605914,532190642001
532190639230,532190672890
532190672545,532190706740
532190705861,532190739709
532190739177,532190772862
532190772493,532190811240
532190805809,532190839673
532190839125,532190872830
532190872444,532190906183
532190905757,532190940276
532190939074,532190975075
532190972391,532191006013
532191005705,532191039522
532191039021,532191073560
532191072337,532191106843
532191105653,532191144931
532191138969,532191172525
532191172284,532191205870
532191205600,532191239262
532191238917,532191273390
532191272232,532191309282
532191305549,532191340107
532191338865,532191373271
532191372180,532191406570
532191405496,532191439964
532191438813,532191475688
532191472159,532191506423
532191505445,532191541349
532191538761,532191573217
532191572076,532191606585
532191605392,532191643934
532191638708,532191673014
532191672025,532191706414
532191705340,532191742369
532191738657,532191772367
532191771975,532191807993
532191805288,532191839804
532191838604,532191873102
532191871920,532191906376
532191905236,532191939749
532191938552,532191974585
532191971868,532192005286
532192005184,532192038775
532192038499,532192072883
532192071816,532192106265
532192105132,532192142160
532192138448,532192172962
532192171764,532192206039
532192205080,532192239495
532192238395,532192272806
532192271712,532192310316
532192305028,532192339541
532192338343,532192372688
532192371660,532192405812
532192404986,532192439406
532192438291,532192475474
532192471608,532192505800
532192504923,532192539563
532192538239,532192572442
532192571573,532192605924
532192604871,532192643453
532192638188,532192674642
532192671503,532192705722
532192704820,532192739358
532192738135,532192776721
532192771452,532192808196
532192804767,532192838707
532192838083,532192874130
532192871400,532192905005
532192904715,532192938730
532192938031,532192976908
532192971347,532193005080
532193004663,532193038471
532193037996,532193071358
532193071294,532193104951
532193104610,532193140868
532193137927,532193172029
532193171242,532193205064
532193204558,532193238319
532193237874,532193271599
532193271191,532193307345
532193304507,532193338253
532193337822,532193371621
532193371138,532193404585
532193404454,532193438072
532193437770,532193474253
532193471087,532193504773
532193504402,532193538135
532193537718,532193571519
532193571034,532193604658
532193604349,532193640538
532193637667,532193671402
532193670981,532193704624
532193704298,532193738073
532193737613,532193771367
532193770934,532193809526
532193804246,532193837758
532193837561,532193871285
532193870877,532193905444
532193904194,532193937912
532193937512,532193973718
532193970826,532194006613
532194004142,532194037848
532194037457,532194071201
532194070775,532194107012
532194104090,532194140212
532194137406,532194171066
532194170721,532194204880
532194204037,532194237785
532194237356,532194271171
532194270669,532194308390
532194303986,532194337608
532194337301,532194370966
532194370616,532194404143
532194403933,532194437712
532194437248,532194473318
532194470565,532194504218
532194503880,532194537615
532194537198,532194570885
532194570519,532194604323
532194603828,532194639974
532194637145,532194670742
532194670460,532194703928
532194703776,532194737509
532194737098,532194770848
532194770409,532194807150
532194803725,532194837630
532194837040,532194870760
532194870356,532194904090
532194903673,532194937496
532194936988,532194973093
532194970304,532195003931
532195003620,532195039011
532195036937,532195070658
532195070252,532195103920
532195103567,532195139986
532195136885,532195170524
532195170200,532195203550
532195203516,532195239931
532195236832,532195270555
532195270148,532195306228
532195303465,532195337693
532195336779,532195370385
532195370095,532195403843
532195403411,532195437108
532195436728,532195472785
532195470066,532195503705
532195503359,532195536926
532195536675,532195570334
532195569991,532195603659
532195603307,532195639396
532195636624,532195670406
532195669939,532195703580
